advertiser,campaign,dt,approxDevices,impressions,percentage
adapt,20431,2015-07-07,1,4,25
adapt,20431,2015-07-23,1,50825,0.001967536
adapt,20431,2015-07-24,7307,143883,5.078431781
adapt,20431,2015-07-25,61054,140858,43.34436099
adapt,20431,2015-07-26,50635,143064,35.39325057
adapt,20431,2015-07-27,57254,143556,39.88269386
adapt,20431,2015-07-28,43323,129822,33.37107732
adapt,20431,2015-07-29,42028,153881,27.31201383
adapt,20431,2015-07-30,32701,93546,34.95713339
adapt,20431,2015-07-31,59864,188458,31.76516784
adapt,20431,2015-08-01,63247,321725,19.65871474
adapt,20431,2015-08-02,4,6,66.66666667
adcol,20240,2015-07-09,1,1,100
adcol,20240,2015-07-16,1,1,100
adcol,20240,2015-07-17,1,1,100
adcol,20240,2015-07-28,1,4,25
adcol,20240,2015-07-31,1,1,100
adcol,20240,2015-08-02,1,1,100
adel,20442,2015-07-15,1,2,50
adel,20442,2015-07-27,6006,7900,76.02531646
adel,20442,2015-07-28,8146,11716,69.52884944
adel,20442,2015-07-29,3028,3946,76.73593512
adel,20442,2015-07-30,1,1,100
adel,20442,2015-07-31,8868,11564,76.68626773
adel,20442,2015-08-02,1,1,100
amobee,20364,2015-07-15,1,1,100
amobee,20421,2015-07-03,180145,2469670,7.294294379
amobee,20421,2015-07-04,40241,347491,11.58044381
amobee,20421,2015-07-05,214,259,82.62548263
amobee,20421,2015-07-06,74,101,73.26732673
amobee,20421,2015-07-07,43,61,70.49180328
amobee,20421,2015-07-08,26,44,59.09090909
amobee,20421,2015-07-09,29,47,61.70212766
amobee,20421,2015-07-11,4,5,80
amobee,20421,2015-07-12,8,8,100
amobee,20421,2015-07-13,7,8,87.5
amobee,20421,2015-07-14,9,12,75
amobee,20421,2015-07-15,1,1,100
amobee,20421,2015-07-19,1,1,100
amobee,20421,2015-07-21,1,1,100
amobee,20421,2015-07-23,1,1,100
amobee,20421,2015-07-24,1,1,100
amobee,20421,2015-07-25,1,1,100
amobee,20421,2015-07-26,1,1,100
amp,20449,2015-07-22,5498,48404,11.35856541
amp,20449,2015-07-23,7312,24026,30.43369683
amp,20453,2015-07-23,2482,6016,41.25664894
amp,20453,2015-07-24,19735,89154,22.13585481
amp,20453,2015-07-25,23605,105828,22.30506104
amp,20453,2015-07-26,22549,111601,20.20501608
amp,20453,2015-07-27,20878,91479,22.82272434
amp,20453,2015-07-28,32955,160971,20.47263172
amp,20453,2015-07-29,30941,158173,19.5614928
amp,20453,2015-07-30,26400,133215,19.81758811
amp,20453,2015-07-31,26939,121126,22.24047686
amp,20453,2015-08-01,36659,171862,21.33048609
amp,20453,2015-08-02,35656,180685,19.73379085
cbsi,20257,2015-07-04,1,2,50
cbsi,20257,2015-07-05,1,2,50
cbsi,20257,2015-07-06,1,6,16.66666667
cbsi,20257,2015-07-07,1,8,12.5
cbsi,20257,2015-07-08,1,2,50
cbsi,20257,2015-07-09,1,8,12.5
cbsi,20257,2015-07-12,1,2,50
cbsi,20257,2015-07-13,1,2,50
cbsi,20257,2015-07-14,1,6,16.66666667
cbsi,20257,2015-07-15,1,4,25
cbsi,20257,2015-07-17,1,6,16.66666667
cbsi,20257,2015-07-20,1,8,12.5
cbsi,20257,2015-07-21,1,6,16.66666667
cbsi,20257,2015-07-22,1,4,25
cbsi,20257,2015-07-23,1,18,5.555555556
cbsi,20257,2015-07-24,1,2,50
cbsi,20257,2015-07-26,1,2,50
cbsi,20257,2015-07-27,1,2,50
